3,|88695
-0.745|,|1329
-0.747|,|1331
-0.759|,|1332
-0.733|,|1334
-0.728|,|1336
-0.749|,|1337
-0.740|,|1339
-0.743|,|1340
-0.762|,|1342
-0.749|,|1344
-0.745|,|1345
-0.749|,|1347
-0.760|,|1348
-0.729|,|1350
-0.732|,|1351
-0.740|,|1353
-0.740|,|1355
-0.745|,|1356
-0.748|,|1358
-0.752|,|1359
-0.753|,|1361
-0.746|,|1363
-0.747|,|1364
-0.741|,|1367
-0.735|,|1368
-0.733|,|1370
-0.742|,|1371
-0.746|,|1373
-0.740|,|1375
-0.765|,|1376
-0.747|,|1378
-0.743|,|1379
-0.746|,|1381
-0.758|,|1383
-0.732|,|1384
-0.740|,|1386
-0.737|,|1387
-0.740|,|1389
-0.742|,|1390
-0.765|,|1392
-0.752|,|1394
-0.746|,|1395
-0.744|,|1397
-0.754|,|1398
-0.735|,|1400
-0.727|,|1402
-0.739|,|1403
-0.744|,|1405
-0.741|,|1406
-0.758|,|1409
-0.754|,|1410
-0.750|,|1412
-0.742|,|1414
-0.752|,|1415
-0.751|,|1417
-0.730|,|1418
-0.743|,|1420
-0.742|,|1421
-0.735|,|1423
-0.744|,|1425
-0.765|,|1426
-0.747|,|1428
-0.740|,|1429
-0.750|,|1431
-0.746|,|1433
-0.740|,|1434
-0.742|,|1436
-0.738|,|1437
-0.740|,|1439
-0.737|,|1440
-0.763|,|1442
-0.752|,|1444
-0.748|,|1445
-0.743|,|1447
-0.745|,|1448
-0.742|,|1451
-0.730|,|1453
-0.743|,|1454
-0.745|,|1456
-0.734|,|1457
-0.750|,|1459
-0.761|,|1460
-0.749|,|1462
-0.748|,|1464
-0.745|,|1465
-0.741|,|1467
-0.727|,|1468
-0.751|,|1470
-0.743|,|1472
-0.726|,|1473
-0.757|,|1475
-0.761|,|1476
-0.754|,|1478
-0.752|,|1479
-0.740|,|1481
-0.742|,|1483
-0.730|,|1484
-0.745|,|1486
-0.743|,|1487
-0.746|,|1489
-0.747|,|1491
-0.755|,|1492
-0.761|,|1495
-0.747|,|1496
-0.744|,|1498
-0.750|,|1499
-0.729|,|1501
-0.732|,|1503
-0.749|,|1504
-0.754|,|1506
-0.732|,|1507
-0.760|,|1509
-0.755|,|1511
-0.749|,|1512
-0.753|,|1514
-0.754|,|1515
-0.729|,|1517
-0.733|,|1518
-0.749|,|1520
-0.747|,|1522
-0.727|,|1523
-0.745|,|1525
-0.752|,|1526
-0.755|,|1528
-0.752|,|1529
-0.744|,|1531
-0.739|,|1533
-0.734|,|1534
-0.747|,|1537
-0.747|,|1538
-0.748|,|1540
-0.736|,|1542
-0.752|,|1543
-0.756|,|1545
-0.748|,|1546
-0.748|,|1548
-0.751|,|1549
-0.724|,|1551
-0.737|,|1553
-0.750|,|1554
-0.743|,|1556
-0.739|,|1557
-0.759|,|1559
-0.742|,|1561
-0.750|,|1562
-0.752|,|1564
-0.754|,|1565
-0.725|,|1567
-0.738|,|1568
-0.739|,|1570
-0.747|,|1572
-0.742|,|1573
-0.752|,|1575
-0.752|,|1576
-0.748|,|1579
-0.749|,|1581
-0.750|,|1582
-0.739|,|1584
-0.729|,|1585
-0.735|,|1587
-0.747|,|1588
-0.748|,|1590
-0.748|,|1592
-0.754|,|1593
-0.747|,|1595
-0.745|,|1596
-0.750|,|1598
-0.746|,|1600
-0.729|,|1601
-0.735|,|1603
-0.738|,|1604
-0.741|,|1606
-0.747|,|1607
-0.761|,|1609
-0.748|,|1611
-0.744|,|1612
-0.758|,|1614
-0.749|,|1615
-0.741|,|1617
-0.726|,|1619
-0.738|,|1620
-0.746|,|1623
-0.745|,|1624
-0.757|,|1626
-0.760|,|1627
-0.751|,|1629
-0.742|,|1631
-0.756|,|1632
-0.745|,|1634
-0.726|,|1635
-0.741|,|1637
-0.745|,|1638
-0.741|,|1640
-0.760|,|1642
-0.760|,|1643
-0.743|,|1645
-0.742|,|1646
-0.747|,|1648
-0.756|,|1650
-0.739|,|1651
-0.737|,|1653
-0.739|,|1654
-0.740|,|1656
-0.759|,|1657
-0.757|,|1659
-0.750|,|1661
-0.753|,|1662
-0.740|,|1665
-0.764|,|1666
-0.740|,|1668
-0.732|,|1670
-0.742|,|1671
-0.748|,|1673
-0.746|,|1674
-0.766|,|1676
-0.762|,|1677
-0.748|,|1679
-0.751|,|1681
-0.763|,|1682
-0.736|,|1684
-0.737|,|1685
-0.749|,|1687
-0.744|,|1689
-0.728|,|1690
-0.768|,|1692
-0.769|,|1693
-0.755|,|1695
-0.748|,|1696
-0.748|,|1698
-0.749|,|1700
-0.743|,|1701
-0.746|,|1703
-0.747|,|1704
-0.739|,|1707
-0.769|,|1709
-0.772|,|1710
-0.760|,|1712
-0.753|,|1713
-0.745|,|1715
-0.758|,|1716
-0.740|,|1718
-0.740|,|1720
-0.748|,|1721
-0.746|,|1723
-0.739|,|1724
-0.770|,|1726
-0.760|,|1728
-0.753|,|1729
-0.751|,|1731
-0.756|,|1732
-0.735|,|1734
-0.742|,|1735
-0.753|,|1737
-0.741|,|1739
-0.745|,|1740
-0.756|,|1742
-0.761|,|1743
-0.761|,|1745
-0.752|,|1746
-0.752|,|1748
-0.734|,|1751
-0.741|,|1752
-0.751|,|1754
-0.755|,|1755
-0.745|,|1757
-0.740|,|1759
-0.768|,|1760
-0.755|,|1762
-0.753|,|1763
-0.749|,|1765
-0.748|,|1766
-0.735|,|1768
-0.747|,|1770
-0.754|,|1771
-0.745|,|1773
-0.745|,|1774
-0.767|,|1776
-0.752|,|1778
-0.755|,|1779
-0.755|,|1781
-0.750|,|1782
-0.730|,|1784
-0.738|,|1785
-0.754|,|1787
-0.751|,|1789
-0.744|,|1790
-0.758|,|1793
-0.759|,|1794
-0.761|,|1796
-0.751|,|1798
-0.756|,|1799
-0.739|,|1801
-0.731|,|1802
-0.752|,|1804
-0.758|,|1805
-0.740|,|1807
-0.748|,|1809
-0.761|,|1810
-0.760|,|1812
-0.749|,|1813
-0.762|,|1815
-0.753|,|1817
-0.736|,|1818
-0.752|,|1820
-0.749|,|1821
-0.752|,|1823
-0.755|,|1824
-0.762|,|1826
-0.753|,|1828
-0.760|,|1829
-0.759|,|1831
-0.765|,|1832
-0.743|,|1835
-0.735|,|1836
-0.749|,|1838
-0.769|,|1840
-0.748|,|1841
-0.761|,|1843
-0.753|,|1844
-0.764|,|1846
-0.762|,|1848
-0.763|,|1849
-0.746|,|1851
-0.725|,|1852
-0.751|,|1854
-0.755|,|1855
-0.744|,|1857
-0.765|,|1859
-0.759|,|1860
-0.753|,|1862
-0.759|,|1863
-0.760|,|1865
-0.745|,|1867
-0.735|,|1868
-0.750|,|1870
-0.750|,|1871
-0.753|,|1873
-0.768|,|1874
-0.761|,|1876
-0.762|,|1879
-0.755|,|1880
-0.754|,|1882
-0.763|,|1883
-0.745|,|1885
-0.742|,|1887
-0.750|,|1888
-0.761|,|1890
-0.761|,|1891
-0.758|,|1893
-0.762|,|1894
-0.750|,|1896
-0.758|,|1898
-0.775|,|1899
-0.742|,|1901
-0.737|,|1902
-0.752|,|1904
-0.757|,|1906
-0.750|,|1907
-0.773|,|1909
-0.761|,|1910
-0.760|,|1912
-0.760|,|1913
-0.764|,|1915
-0.747|,|1917
-0.744|,|1918
-0.750|,|1921
-0.750|,|1922
-0.751|,|1924
-0.761|,|1926
-0.767|,|1927
-0.767|,|1929
-0.753|,|1930
-0.756|,|1932
-0.769|,|1933
-0.741|,|1935
-0.748|,|1937
-0.753|,|1938
-0.748|,|1940
-0.755|,|1941
-0.779|,|1943
-0.760|,|1944
-0.751|,|1946
-0.757|,|1948
-0.767|,|1949
-0.738|,|1951
-0.752|,|1952
-0.756|,|1954
-0.753|,|1956
-0.755|,|1957
-0.773|,|1959
-0.765|,|1960
-0.764|,|1963
-0.758|,|1964
-0.761|,|1966
-0.756|,|1968
-0.756|,|1969
-0.752|,|1971
-0.760|,|1972
-0.749|,|1974
-0.765|,|1976
-0.780|,|1977
-0.764|,|1979
-0.753|,|1980
-0.756|,|1982
-0.761|,|1983
-0.747|,|1985
-0.755|,|1987
-0.758|,|1988
-0.745|,|1990
-0.770|,|1991
-0.776|,|1993
-0.767|,|1995
-0.758|,|1996
-0.766|,|1998
-0.761|,|1999
-0.754|,|2001
-0.752|,|2002
-0.756|,|2004
-0.756|,|2007
-0.758|,|2008
-0.768|,|2010
-0.768|,|2011
-0.769|,|2013
-0.758|,|2015
-0.757|,|2016
-0.755|,|2018
-0.749|,|2019
-0.761|,|2021
-0.762|,|2022
-0.738|,|2024
-0.765|,|2026
-0.778|,|2027
-0.766|,|2029
-0.754|,|2030
-0.767|,|2032
-0.748|,|2034
-0.746|,|2035
-0.764|,|2037
-0.759|,|2038
-0.750|,|2040
-0.772|,|2041
-0.774|,|2043
-0.762|,|2045
-0.767|,|2046
-0.757|,|2049
-0.765|,|2050
-0.751|,|2052
-0.752|,|2053
-0.762|,|2055
-0.761|,|2057
-0.755|,|2058
-0.771|,|2060
-0.774|,|2061
-0.766|,|2063
-0.765|,|2065
-0.777|,|2066
-0.748|,|2068
-0.750|,|2069
-0.769|,|2071
-0.761|,|2072
-0.750|,|2074
-0.770|,|2076
-0.778|,|2077
-0.766|,|2079
-0.773|,|2080
-0.768|,|2082
-0.746|,|2084
-0.750|,|2085
-0.763|,|2087
-0.766|,|2088
-0.751|,|2091
-0.777|,|2092
-0.776|,|2094
-0.771|,|2096
-0.767|,|2097
-0.759|,|2099
-0.765|,|2100
-0.749|,|2102
-0.752|,|2104
-0.769|,|2105
-0.764|,|2107
-0.771|,|2108
-0.778|,|2110
-0.764|,|2111
-0.774|,|2113
-0.769|,|2115
-0.781|,|2116
-0.744|,|2118
-0.749|,|2119
-0.773|,|2121
-0.765|,|2123
-0.765|,|2124
-0.774|,|2126
-0.762|,|2127
-0.773|,|2129
-0.770|,|2130
-0.770|,|2132
-0.754|,|2135
-0.752|,|2136
-0.763|,|2138
-0.761|,|2139
-0.772|,|2141
-0.768|,|2143
-0.779|,|2144
-0.771|,|2146
-0.766|,|2147
-0.774|,|2149
-0.765|,|2150
-0.746|,|2152
-0.757|,|2154
-0.765|,|2155
-0.770|,|2157
-0.768|,|2158
-0.779|,|2160
-0.761|,|2161
-0.762|,|2163
-0.775|,|2165
-0.768|,|2166
-0.747|,|2168
-0.759|,|2169
-0.759|,|2171
-0.767|,|2173
-0.768|,|2174
-0.780|,|2177
-0.767|,|2178
-0.766|,|2180
-0.768|,|2181
-0.778|,|2183
-0.756|,|2185
-0.750|,|2186
-0.762|,|2188
-0.772|,|2189
-0.761|,|2191
-0.781|,|2193
-0.783|,|2194
-0.770|,|2196
-0.760|,|2197
-0.781|,|2199
-0.765|,|2200
-0.761|,|2202
-0.768|,|2204
-0.769|,|2205
-0.762|,|2207
-0.783|,|2208
-0.783|,|2210
-0.768|,|2212
-0.769|,|2213
-0.783|,|2215
-0.777|,|2216
-0.764|,|2219
-0.763|,|2220
-0.759|,|2222
-0.775|,|2224
-0.774|,|2225
-0.783|,|2227
-0.777|,|2228
-0.771|,|2230
-0.771|,|2232
-0.789|,|2233
-0.769|,|2235
-0.760|,|2236
-0.771|,|2238
-0.775|,|2239
-0.762|,|2241
-0.789|,|2243
-0.781|,|2244
-0.776|,|2246
-0.776|,|2247
-0.774|,|2249
-0.768|,|2250
