x-axis,y-axis,z-axis,|time
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.10101950899991152
-0.612915625|,-6.4356140625,-6.89530078125,|0.10161914100001468
-0.612915625|,-6.4356140625,-6.89530078125,|0.10220299200000227
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.1026489789999232
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.1030739770000082
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.1034882449999941
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.10389845099996364
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.10435287500001778
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.1047713619999513
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.10519073499995102
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.10564302399995995
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.1061968749999096
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.10671640299995033
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.1072010359999922
-0.612915625|,-6.4356140625,-6.89530078125,|0.10769639699992695
-0.612915625|,-6.4356140625,-6.89530078125,|0.10821290499995939
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.10864644399998724
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.10906394099993122
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.10947951200000716
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.10994513399998596
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.11046669299992118
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.11100648199999341
-0.612915625|,-6.4356140625,-6.89530078125,|0.11155710399998497
-0.612915625|,-6.4356140625,-6.89530078125,|0.11204064300000027
-0.612915625|,-6.4356140625,-7.048529687499999,|0.11255840000001172
-0.612915625|,-6.4356140625,-7.048529687499999,|0.11308688600001915
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.11352589399996305
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.11394479799992041
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.11436042100001487
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.11477833499998269
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.11545130000001791
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.1160546290000184
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.11662941800000226
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.1171203000000105
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.1176076929999681
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.11809425299998111
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.11851826099996288
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.11893091399997502
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.11934221399997114
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.11975528499999655
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.12016887599997972
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.12070647699999881
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.12133610899991254
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.12189021999995475
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.12238474799994492
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.12285885999995116
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.12342370099997879
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.12390932300002078
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.12440786100000878
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.12485093199995845
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.1252707209999926
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.12572644699991997
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.12628910000000815
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.1268414410000105
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.12733924999997726
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.12782742499996402
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.1284576289999677
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.1289519489999975
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.12938246800001707
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.1298025169999164
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.13021699399996578
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.1306743349999806
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.1312307379999993
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.13175240199996097
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.13227942999992592
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.13279150999994727
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.13337322500001392
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.1338393679999399
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.13426311599994278
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.13471733199992286
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.13516649600001074
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.13563190999991548
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.1362158649999401
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.1367388310000024
-0.612915625|,-6.4356140625,-6.89530078125,|0.13722804600001837
-0.612915625|,-6.4356140625,-6.89530078125,|0.13775887700001022
-0.612915625|,-6.4356140625,-7.048529687499999,|0.13838116499994157
-0.612915625|,-6.4356140625,-7.048529687499999,|0.1389594949999946
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.13950735599996733
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.14001396799994836
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.14055521399995996
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.14110823199996503
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.14169218699998964
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.1423730679999835
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.14299155399999108
-0.612915625|,-6.4356140625,-7.048529687499999,|0.14370977900000526
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.14444633699997667
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.14518226999996386
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.14586596399999507
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.14646616899995024
-0.7661445312499999|,-6.282385156249999,-7.048529687499999,|0.14708251999991262
-0.7661445312499999|,-6.282385156249999,-7.048529687499999,|0.1477760049999688
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.14837407499999244
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.1489187070000071
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.14944552700001168
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.14995911699998032
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.15044619799994052
-0.612915625|,-6.4356140625,-7.048529687499999,|0.15088156000001618
-0.612915625|,-6.4356140625,-7.048529687499999,|0.15134650499999225
-0.612915625|,-6.4356140625,-7.048529687499999,|0.15188014799991834
-0.612915625|,-6.4356140625,-7.048529687499999,|0.15249253999991197
-0.612915625|,-6.4356140625,-7.048529687499999,|0.15310534899992945
-0.612915625|,-6.4356140625,-7.048529687499999,|0.1535553459999619
-0.612915625|,-6.4356140625,-7.048529687499999,|0.1540185210000118
-0.612915625|,-6.4356140625,-7.048529687499999,|0.15451606999999967
-0.612915625|,-6.4356140625,-7.048529687499999,|0.15494726499991884
-0.612915625|,-6.4356140625,-6.89530078125,|0.15536481499998445
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.15577580199999375
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.15622293499995976
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.15668308799990882
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.15723136600001908
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.1577516759999753
-0.612915625|,-6.4356140625,-6.89530078125,|0.15823412099996403
-0.612915625|,-6.4356140625,-6.89530078125,|0.1587253679999776
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.15921015699996133
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.15963827899997796
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.16005457899996145
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.16049869099992975
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.16092874100002064
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.16134425899997495
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.16179962100000012
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.16235196100001303
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.16278081299992664
-0.612915625|,-6.4356140625,-7.048529687499999,|0.1631489359999705
-0.612915625|,-6.4356140625,-7.048529687499999,|0.16356601699999374
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.16405460800001492
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.16455741699996906
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.16495043599991277
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.16530829800001356
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.1656909519999772
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.16607881400000224
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.16652896799996597
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.16698208999991948
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.16741411900000003
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.16786375200001658
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.16833843699998852
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.16884145500000614
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.1693081710000115
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.16973098099992967
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.17014576999997644
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.1705566529999487
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.17096680700001343
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.17137951299991983
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.17178857299995798
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.17223856999999043
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.17292533699992418
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.1735451769999372
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.17416246499999488
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.17465063899999222
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.17512886599990907
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.17570620599997255
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.1763503170000149
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.17684234499995455
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.17723119699996914
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.17759051799998815
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.1779699429999937
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.17841150300000663
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.178948165999941
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.1793552469999895
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.17971232799993686
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.18009789899997486
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.18054482299999108
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.18097638299991559
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.18134210999994593
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.1816991919999964
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.18205543900000976
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.1824091349999435
-0.7661445312499999|,-6.282385156249999,-7.048529687499999,|0.18276689399999668
-0.7661445312499999|,-6.282385156249999,-7.048529687499999,|0.18312423499992292
-0.7661445312499999|,-6.282385156249999,-7.048529687499999,|0.18348261899996032
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.1838370959999338
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.18422037499999533
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.18470073599996795
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.18525620200000503
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.18575739699997484
-0.7661445312499999|,-6.282385156249999,-6.89530078125,|0.18620395699997516
-0.7661445312499999|,-6.282385156249999,-6.89530078125,|0.18668926599991664
-0.7661445312499999|,-6.282385156249999,-6.89530078125,|0.18728754400001435
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.18781118699996568
-0.7661445312499999|,-6.4356140625,-6.89530078125,|0.18829769399997076
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.18870503599998756
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.18906294999999318
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.1894207609999512
-0.7661445312499999|,-6.4356140625,-7.048529687499999,|0.1897740919999933
-0.612915625|,-6.4356140625,-7.048529687499999,|0.1901298189999352
-0.612915625|,-6.4356140625,-7.048529687499999,|0.1905387229999178
-0.612915625|,-6.4356140625,-7.048529687499999,|0.19101382399992417
