time,|spark
815|,|54
815|,|54
816|,|55
816|,|55
817|,|55
818|,|54
818|,|54
819|,|54
819|,|54
820|,|55
820|,|55
821|,|55
822|,|55
822|,|55
823|,|55
823|,|55
824|,|55
825|,|55
825|,|55
826|,|55
826|,|55
827|,|55
827|,|55
828|,|53
829|,|54
829|,|56
830|,|55
830|,|54
831|,|55
832|,|55
832|,|55
833|,|55
833|,|55
834|,|55
834|,|56
835|,|56
836|,|57
836|,|57
837|,|56
837|,|57
838|,|54
839|,|57
839|,|57
840|,|57
840|,|58
841|,|58
841|,|57
842|,|57
843|,|57
843|,|58
844|,|57
844|,|57
845|,|57
845|,|57
846|,|57
847|,|57
847|,|58
848|,|58
848|,|58
849|,|58
850|,|58
850|,|58
851|,|58
851|,|59
852|,|60
852|,|59
854|,|59
855|,|60
855|,|60
856|,|60
856|,|60
857|,|61
858|,|61
858|,|60
859|,|60
859|,|61
860|,|61
860|,|61
861|,|60
862|,|61
862|,|61
863|,|61
863|,|61
864|,|61
864|,|61
865|,|61
866|,|60
866|,|58
867|,|60
867|,|60
868|,|61
869|,|60
869|,|61
870|,|60
870|,|60
871|,|60
871|,|60
872|,|58
873|,|61
873|,|60
874|,|60
874|,|60
875|,|58
876|,|60
876|,|60
877|,|60
877|,|60
878|,|59
878|,|59
879|,|59
880|,|59
880|,|60
881|,|59
881|,|60
882|,|60
883|,|59
883|,|60
884|,|60
884|,|60
885|,|60
885|,|60
886|,|60
887|,|60
887|,|60
888|,|60
888|,|61
889|,|61
889|,|61
890|,|61
891|,|60
891|,|61
892|,|61
892|,|61
893|,|61
894|,|61
894|,|61
896|,|60
896|,|61
897|,|61
897|,|61
898|,|61
899|,|61
899|,|60
900|,|61
900|,|61
901|,|61
902|,|61
902|,|62
903|,|61
903|,|59
904|,|61
904|,|62
905|,|62
906|,|61
906|,|61
907|,|61
907|,|61
908|,|61
908|,|61
909|,|61
910|,|61
910|,|61
911|,|61
911|,|60
912|,|58
913|,|61
913|,|60
914|,|61
914|,|61
915|,|61
915|,|61
916|,|60
917|,|61
917|,|62
918|,|61
918|,|61
919|,|61
920|,|61
920|,|61
921|,|61
921|,|61
922|,|61
922|,|61
923|,|61
924|,|61
924|,|61
925|,|61
925|,|60
926|,|61
927|,|61
927|,|60
928|,|61
928|,|60
929|,|61
929|,|61
930|,|60
931|,|61
931|,|60
932|,|59
932|,|60
933|,|60
933|,|61
934|,|60
935|,|60
935|,|61
936|,|61
936|,|60
937|,|61
939|,|60
939|,|60
940|,|60
940|,|59
941|,|60
941|,|60
942|,|60
943|,|60
943|,|60
944|,|60
944|,|59
945|,|59
946|,|59
946|,|60
947|,|60
947|,|59
948|,|59
948|,|59
949|,|56
950|,|59
950|,|59
951|,|59
951|,|60
952|,|59
952|,|60
953|,|60
954|,|60
954|,|61
955|,|60
955|,|60
956|,|60
957|,|59
957|,|60
958|,|60
958|,|60
959|,|59
959|,|60
960|,|60
961|,|60
961|,|59
962|,|59
962|,|60
963|,|60
964|,|60
964|,|59
965|,|60
965|,|60
966|,|60
966|,|60
967|,|60
968|,|60
968|,|60
969|,|60
969|,|60
970|,|60
971|,|63
971|,|60
972|,|60
972|,|60
973|,|60
973|,|60
974|,|60
975|,|60
975|,|60
976|,|60
976|,|59
977|,|60
977|,|59
978|,|60
979|,|60
979|,|60
980|,|59
980|,|59
982|,|59
983|,|59
983|,|59
984|,|60
984|,|60
985|,|59
985|,|59
986|,|58
987|,|60
987|,|60
988|,|60
988|,|60
989|,|60
990|,|59
990|,|60
991|,|60
991|,|60
992|,|60
992|,|59
993|,|59
994|,|59
994|,|59
995|,|59
995|,|59
996|,|59
996|,|60
997|,|59
998|,|59
998|,|59
999|,|59
999|,|59
1000|,|60
1001|,|59
1001|,|58
1002|,|59
1003|,|60
1003|,|60
1004|,|60
1005|,|60
1005|,|59
1006|,|59
1007|,|60
1007|,|59
1008|,|59
1009|,|59
1009|,|59
1010|,|59
1011|,|59
1011|,|59
1012|,|59
1013|,|59
1013|,|58
1014|,|59
1015|,|59
1015|,|59
1016|,|59
1017|,|58
1017|,|59
1018|,|59
1019|,|59
1019|,|59
1020|,|59
1021|,|59
1021|,|59
1022|,|59
1024|,|59
1024|,|59
1025|,|61
1026|,|59
1026|,|59
1027|,|58
1028|,|58
1028|,|61
1029|,|58
1030|,|58
1030|,|58
1031|,|58
1032|,|58
1032|,|58
1033|,|58
1034|,|59
1034|,|59
1035|,|59
1036|,|59
1036|,|59
1037|,|59
1037|,|59
1038|,|59
1039|,|59
1039|,|59
1040|,|59
1041|,|59
1041|,|59
1042|,|58
1043|,|57
1043|,|58
1044|,|58
1045|,|59
1045|,|58
1046|,|58
1047|,|58
1047|,|58
1048|,|58
1049|,|58
1049|,|58
1050|,|58
1051|,|58
1051|,|58
1052|,|59
1053|,|58
1053|,|59
1054|,|58
1055|,|56
1055|,|58
1056|,|58
1057|,|59
1057|,|58
1058|,|58
1059|,|58
1059|,|58
1060|,|58
1061|,|58
1061|,|58
1062|,|57
1063|,|57
1063|,|57
1064|,|57
1065|,|57
1065|,|57
1067|,|57
1068|,|55
1068|,|57
1069|,|57
1070|,|58
1070|,|57
1071|,|57
1072|,|57
1072|,|57
1073|,|57
1074|,|56
1074|,|57
1075|,|56
1076|,|56
1076|,|56
1077|,|56
1078|,|56
1078|,|55
1079|,|55
1080|,|53
1080|,|55
1081|,|55
1082|,|55
1082|,|55
1083|,|55
1084|,|55
1084|,|54
1085|,|55
1086|,|55
1086|,|55
1087|,|55
1088|,|54
1088|,|53
1089|,|54
1090|,|54
1090|,|54
1091|,|54
1092|,|54
1092|,|53
1093|,|53
1094|,|55
1094|,|53
1095|,|53
1096|,|53
1096|,|52
1097|,|52
1098|,|52
1098|,|52
1099|,|52
1100|,|52
1100|,|52
1101|,|52
1102|,|52
1102|,|52
1103|,|52
1104|,|52
1104|,|52
1105|,|52
1106|,|52
1106|,|52
1107|,|51
1108|,|51
1108|,|51
1110|,|51
1111|,|51
1111|,|51
1112|,|51
1113|,|51
1113|,|51
1114|,|51
1115|,|50
1115|,|50
1116|,|51
1117|,|50
1117|,|51
1118|,|50
1119|,|51
1119|,|51
1120|,|51
1121|,|51
1121|,|49
1122|,|52
1123|,|52
1123|,|51
1124|,|50
1124|,|49
1125|,|50
1126|,|50
1126|,|50
1127|,|50
1128|,|50
1128|,|49
1129|,|49
1130|,|49
1130|,|50
1131|,|50
1132|,|50
1132|,|50
1133|,|48
1134|,|50
1134|,|50
1135|,|50
1136|,|50
1136|,|49
1137|,|51
1138|,|51
1138|,|51
1139|,|51
1140|,|51
1140|,|51
1141|,|51
1142|,|51
1142|,|52
1143|,|52
1144|,|52
1144|,|53
1145|,|52
1146|,|53
1146|,|54
1147|,|54
1148|,|54
1148|,|54
1149|,|55
1150|,|56
1150|,|57
1152|,|57
1153|,|57
1153|,|57
1154|,|58
1155|,|59
1155|,|59
1156|,|60
1157|,|60
1157|,|60
1158|,|60
1159|,|61
1159|,|61
1160|,|63
1161|,|62
1161|,|62
1162|,|62
1163|,|63
1163|,|63
1164|,|63
1165|,|64
1165|,|64
1166|,|64
1167|,|65
1167|,|65
1168|,|65
1169|,|66
1169|,|66
1170|,|66
1171|,|66
1171|,|66
1172|,|68
1173|,|67
1173|,|67
1174|,|67
1175|,|67
1175|,|70
1176|,|67
1177|,|67
1177|,|67
1178|,|67
1179|,|67
1179|,|67
1180|,|67
1181|,|67
1181|,|67
1182|,|67
1183|,|67
1183|,|68
1184|,|69
1185|,|67
1185|,|68
1186|,|68
1187|,|68
1187|,|68
1188|,|68
1189|,|68
1189|,|68
1190|,|66
1191|,|67
1191|,|68
1192|,|68
1193|,|67
1193|,|67
1195|,|67
1196|,|67
1196|,|67
1197|,|67
1198|,|67
1198|,|67
1199|,|67
1200|,|67
1200|,|67
1201|,|67
1202|,|67
1202|,|67
1203|,|65
1204|,|67
1204|,|67
1205|,|68
1206|,|67
1206|,|67
1207|,|67
1208|,|67
1208|,|67
1209|,|67
1210|,|67
1210|,|66
1211|,|66
1211|,|66
1212|,|66
1213|,|66
1213|,|66
1214|,|66
1215|,|65
1215|,|66
1216|,|66
1217|,|66
1217|,|65
1218|,|65
1219|,|65
1219|,|65
1220|,|66
1221|,|65
1221|,|65
1222|,|65
1223|,|65
1223|,|65
1224|,|65
1225|,|64
1225|,|64
1226|,|64
1227|,|64
1227|,|64
1228|,|64
1229|,|65
1229|,|64
1230|,|64
1231|,|64
1231|,|65
1232|,|65
1233|,|65
1233|,|65
1234|,|65
1235|,|66
1235|,|67
1236|,|67
1238|,|67
1238|,|68
1239|,|69
1240|,|70
1240|,|71
1241|,|71
1242|,|71
1242|,|72
1243|,|73
1244|,|75
1244|,|78
1245|,|82
1246|,|86
1246|,|92
1247|,|93
1248|,|94
1248|,|95
1249|,|94
1250|,|93
1250|,|93
1251|,|93
1252|,|93
1252|,|93
1253|,|93
1254|,|92
1254|,|92
1255|,|92
1256|,|92
1256|,|94
1257|,|95
1258|,|95
1258|,|95
1259|,|93
1260|,|91
1260|,|92
1261|,|92
1262|,|91
1262|,|91
1263|,|90
1264|,|90
1264|,|90
1265|,|90
1266|,|90
1266|,|89
1267|,|89
1268|,|88
1268|,|86
1269|,|89
1270|,|89
1270|,|89
1271|,|89
1272|,|88
1272|,|89
1273|,|89
1274|,|89
1274|,|88
1275|,|88
1276|,|88
1276|,|88
1277|,|89
1278|,|89
1278|,|89
1280|,|88
1281|,|88
1281|,|87
1282|,|88
1283|,|88
1283|,|88
1284|,|87
1285|,|86
1285|,|86
1286|,|86
1287|,|87
1287|,|85
1288|,|84
1289|,|84
1289|,|83
1290|,|84
1291|,|83
1291|,|82
1292|,|82
1293|,|82
1293|,|81
1294|,|81
1295|,|80
1295|,|81
1296|,|80
1297|,|79
1297|,|80
1298|,|80
1298|,|81
1299|,|79
1300|,|79
1300|,|79
1301|,|78
1302|,|78
1302|,|77
1303|,|77
1304|,|76
1304|,|75
1305|,|75
1306|,|74
1306|,|74
1307|,|75
1308|,|72
1308|,|72
1309|,|71
1310|,|71
1310|,|72
1311|,|69
1312|,|68
1312|,|68
1313|,|66
1314|,|67
1314|,|66
1315|,|66
1316|,|65
1316|,|65
1317|,|65
1318|,|64
1318|,|64
1319|,|66
1320|,|63
1320|,|63
1321|,|63
1323|,|62
1323|,|64
1324|,|62
1325|,|62
1325|,|61
1326|,|61
1327|,|61
1327|,|61
1328|,|60
1329|,|60
1329|,|60
1330|,|59
1331|,|59
1331|,|59
1332|,|59
1333|,|59
1333|,|59
1334|,|58
1335|,|59
1335|,|58
1336|,|58
1337|,|58
1337|,|58
1338|,|56
1339|,|58
1339|,|58
1340|,|58
1341|,|57
1341|,|58
1342|,|57
1343|,|57
1343|,|56
1344|,|56
1345|,|57
1345|,|56
1346|,|56
1347|,|56
1347|,|56
1348|,|56
1349|,|56
1349|,|55
1350|,|55
1351|,|55
1351|,|55
1352|,|56
1353|,|55
1353|,|55
1354|,|55
1355|,|55
1355|,|55
1356|,|55
1357|,|55
1357|,|55
1358|,|55
1359|,|54
1359|,|54
1360|,|54
1361|,|54
1361|,|54
1362|,|54
1363|,|54
1363|,|53
1364|,|54
1366|,|53
1366|,|53
1367|,|53
1368|,|53
1368|,|53
1369|,|53
1370|,|54
1370|,|53
1371|,|53
1372|,|53
1372|,|53
1373|,|53
1374|,|53
1374|,|53
1375|,|53
1376|,|52
1376|,|52
1377|,|52
1378|,|52
1378|,|52
1379|,|52
1380|,|51
1380|,|52
1381|,|52
1382|,|52
1382|,|52
1383|,|52
1384|,|52
1384|,|52
1385|,|52
1385|,|52
1386|,|52
1387|,|52
1387|,|52
1388|,|52
1389|,|52
1389|,|52
1390|,|52
1391|,|52
1391|,|53
1392|,|52
1393|,|52
1393|,|52
1394|,|52
1395|,|51
1395|,|52
1396|,|52
1397|,|53
1397|,|53
1398|,|52
1399|,|53
1399|,|53
1400|,|53
1401|,|53
1401|,|53
1402|,|53
1403|,|53
1403|,|51
1404|,|53
1405|,|54
1405|,|54
1406|,|54
1408|,|52
1408|,|54
1409|,|54
1410|,|54
1410|,|54
1411|,|54
1412|,|54
1412|,|54
1413|,|54
1414|,|54
1414|,|55
1415|,|55
1416|,|55
1416|,|54
1417|,|55
1418|,|56
1418|,|56
1419|,|56
1420|,|54
1420|,|56
1421|,|57
1422|,|57
1422|,|57
1423|,|57
1424|,|57
1424|,|57
1425|,|57
1426|,|58
1426|,|58
1427|,|58
1428|,|58
1428|,|57
1429|,|58
1430|,|58
1430|,|58
1431|,|58
1432|,|58
1432|,|58
1433|,|59
1434|,|61
1434|,|59
1435|,|59
1436|,|59
1436|,|58
1437|,|59
1438|,|59
1438|,|59
1439|,|59
1440|,|59
1440|,|58
1441|,|58
1442|,|58
1442|,|60
1443|,|58
1444|,|58
1444|,|57
1445|,|57
1446|,|59
1446|,|56
1447|,|56
1448|,|56
1448|,|56
1449|,|56
1451|,|56
1451|,|56
1452|,|56
1453|,|56
1453|,|56
1454|,|56
1455|,|56
1455|,|58
1456|,|56
1457|,|56
1457|,|56
1458|,|56
1459|,|57
1459|,|55
1460|,|55
1461|,|55
1461|,|55
1462|,|55
1463|,|55
1463|,|55
1464|,|56
1465|,|56
1465|,|56
1466|,|56
1467|,|56
1467|,|59
1468|,|57
1469|,|58
1469|,|58
1470|,|59
1471|,|60
1471|,|61
1472|,|61
1472|,|62
1473|,|62
1474|,|63
1474|,|64
1475|,|65
1476|,|65
1476|,|65
1477|,|66
1478|,|66
1478|,|67
1479|,|68
1480|,|67
1480|,|68
1481|,|68
1482|,|68
1482|,|70
1483|,|70
1484|,|71
1484|,|71
1485|,|69
1486|,|72
1486|,|73
1487|,|73
1488|,|73
1488|,|74
1489|,|74
1490|,|75
1490|,|75
1491|,|75
1492|,|76
1492|,|76
1494|,|76
1495|,|74
1495|,|77
1496|,|77
1497|,|77
1497|,|77
1498|,|76
1499|,|78
1499|,|78
1500|,|79
1501|,|79
1501|,|79
1502|,|80
1503|,|80
1503|,|81
1504|,|81
1505|,|82
1505|,|82
1506|,|82
1507|,|80
1507|,|83
1508|,|83
1509|,|83
1509|,|83
1510|,|81
1511|,|84
1511|,|84
1512|,|84
1513|,|85
1513|,|85
1514|,|85
1515|,|86
1515|,|86
1516|,|86
1517|,|86
1517|,|86
1518|,|87
1519|,|86
1519|,|87
1520|,|87
1521|,|87
1521|,|88
1522|,|88
1523|,|88
1523|,|88
1524|,|88
1525|,|88
1525|,|88
1526|,|88
1527|,|88
1527|,|88
1528|,|87
1529|,|87
1529|,|87
1530|,|87
1531|,|86
1531|,|87
1532|,|86
1533|,|88
1533|,|87
1534|,|86
1536|,|87
1536|,|87
1537|,|88
1538|,|87
1538|,|87
1539|,|87
1540|,|87
1540|,|87
1541|,|87
